"city","data_source","Var_p","Var_W"
"Kolkata","era5-land",65699.7109293869,70451.7887329281
"Kolkata","gleam-v4-1a",NA,53998.9270602537
"Kolkata","mswep-v2-8",61278.2634342495,65867.4445439218
"Kolkata","terraclimate",50189.5751020613,45448.1165439218
"Kozhikode","era5-land",220861.567238478,227075.001676691
"Kozhikode","gleam-v4-1a",NA,432261.155080074
"Kozhikode","mswep-v2-8",183987.383664852,192578.140393023
"Kozhikode","terraclimate",429372.887690063,417951.80667204
"Kuala Lumpur","era5-land",146479.445087315,145252.647470349
"Kuala Lumpur","gleam-v4-1a",NA,84034.7854581395
"Kuala Lumpur","mswep-v2-8",79785.0985857823,93750.568769556
"Kuala Lumpur","terraclimate",74543.7163654863,91170.8358348309
"Kumasi","era5-land",29520.376961945,16933.6906492072
"Kumasi","gleam-v4-1a",NA,23874.6743255814
"Kumasi","mswep-v2-8",37339.8293,32924.6738475159
"Kumasi","terraclimate",22898.9630707717,17132.0125602537
"Kunming","era5-land",23353.5432348309,18608.4901549683
"Kunming","gleam-v4-1a",NA,17761.8483933932
"Kunming","mswep-v2-8",16696.2520289112,18521.4036855708
"Kunming","terraclimate",17615.1805773256,13942.9491418605
"Kuwait City","era5-land",3176.16150502114,4562.08639006342
"Kuwait City","gleam-v4-1a",NA,539.540153224101
"Kuwait City","mswep-v2-8",2575.60484371036,1791.4075640592
"Kuwait City","terraclimate",855.161636997886,2.2589245243129
"Kyiv","era5-land",7783.02776955603,9901.03962595137
"Kyiv","gleam-v4-1a",NA,4861.16828091966
"Kyiv","mswep-v2-8",5307.65792320296,6596.98380269556
"Kyiv","terraclimate",4041.46589571882,3439.49157906977
"La Paz","era5-land",16209.6269784355,10713.8808412262
"La Paz","gleam-v4-1a",NA,7512.66093488372
